competency,level,item_id,item_text
 Market & Data Analytics Intelligence,Developing,C1D1,Demonstrates basic understanding of market data collection methods
 Market & Data Analytics Intelligence,Developing,C1D2,Tracks standard industry information and basic market trends
 Market & Data Analytics Intelligence,Developing,C1D3,Performs simple data analysis using established templates and tools
 Market & Data Analytics Intelligence,Developing,C1D4,Identifies obvious patterns in market and customer data
 Market & Data Analytics Intelligence,Developing,C1D5,Recognizes the connection between data insights and business decisions
 Market & Data Analytics Intelligence,Developing,C1D6,Seeks guidance when interpreting complex market signals
 Market & Data Analytics Intelligence,Capability,C1C1,Independently collects and verifies market intelligence from multiple sources
 Market & Data Analytics Intelligence,Capability,C1C2,"Analyzes industrial chain dynamics, capacity trends, and price movements"
 Market & Data Analytics Intelligence,Capability,C1C3,Identifies potential business opportunities in market segments
 Market & Data Analytics Intelligence,Capability,C1C4,Conducts multi-channel verification of competitor strategies and market changes
 Market & Data Analytics Intelligence,Capability,C1C5,Makes data-driven recommendations based on market analysis
 Market & Data Analytics Intelligence,Capability,C1C6,Effectively communicates insights to stakeholders and influences decisions
 Market & Data Analytics Intelligence,Strong,C1T1,Develops sophisticated methodologies for market intelligence gathering
 Market & Data Analytics Intelligence,Strong,C1T2,Predicts market evolution and competitive landscape changes with high accuracy
 Market & Data Analytics Intelligence,Strong,C1T3,Identifies non-obvious correlations between market factors and business outcomes
 Market & Data Analytics Intelligence,Strong,C1T4,Translates complex data patterns into strategic business opportunities
 Market & Data Analytics Intelligence,Strong,C1T5,Influences senior management decisions with compelling market insights
 Market & Data Analytics Intelligence,Strong,C1T6,Creates frameworks that enable others to better analyze and interpret market data
Digital & AI Proficiency,Developing,C2D1,Demonstrates basic understanding of digital tools and AI applications in sales
Digital & AI Proficiency,Developing,C2D2,Uses standard digital platforms for routine sales activities
Digital & AI Proficiency,Developing,C2D3,Accurately inputs business data into digital systems
Digital & AI Proficiency,Developing,C2D4,Follows established digital processes and workflows
Digital & AI Proficiency,Developing,C2D5,Shows interest in learning new digital capabilities
Digital & AI Proficiency,Developing,C2D6,Recognizes the potential value of AI in sales processes
Digital & AI Proficiency,Capability,C2C1,Independently selects and applies appropriate digital tools for different sales scenarios
Digital & AI Proficiency,Capability,C2C2,Understands customers' digital application planning in their business processes
Digital & AI Proficiency,Capability,C2C3,Identifies suitable customers for digital pilot opportunities
Digital & AI Proficiency,Capability,C2C4,Evaluates sales processes and results using system data
Digital & AI Proficiency,Capability,C2C5,Coaches customers on digital platform usage
Digital & AI Proficiency,Capability,C2C6,Provides feedback for digital system improvements
Digital & AI Proficiency,Strong,C2T1,Proactively explores and benchmarks different digital application strategies
Digital & AI Proficiency,Strong,C2T2,Develops innovative approaches to integrate AI into sales processes
Digital & AI Proficiency,Strong,C2T3,Guides customers to adopt company's digital solutions
Digital & AI Proficiency,Strong,C2T4,Conducts sophisticated data analysis to discover correlations among customer groups
Digital & AI Proficiency,Strong,C2T5,"Actively communicates ""customer-centric"" design concepts with relevant departments"
Digital & AI Proficiency,Strong,C2T6,Leads digital transformation initiatives that create competitive advantage
Strategic Customer Development,Developing,C3D1,Develops business opportunities in familiar areas
Strategic Customer Development,Developing,C3D2,Formulates basic solutions to serve customers' specific projects
Strategic Customer Development,Developing,C3D3,Understands partial project information of customers
Strategic Customer Development,Developing,C3D4,Solves routine problems in regular business environments
Strategic Customer Development,Developing,C3D5,Follows established approaches for customer development
Strategic Customer Development,Developing,C3D6,Shows awareness of company strategy in business development activities
Strategic Customer Development,Capability,C3C1,Actively develops new customers or integrates new solutions for existing customers
Strategic Customer Development,Capability,C3C2,Aligns business development with company strategy
Strategic Customer Development,Capability,C3C3,Explores customers' short-term and long-term project opportunities
Strategic Customer Development,Capability,C3C4,Makes agile adjustments when customers or industries undergo changes
